Appointment_Date,Attended,DNA
2024-04-21,3583,810
2024-04-22,1440651,338505
2024-04-23,1353065,314975
2024-04-24,1258784,288715
2024-04-25,1263584,289470
2024-04-26,1224132,276635
2024-04-27,78542,51030
2024-04-28,6982,3540
2024-04-29,1451872,333055
2024-04-30,1377603,315455
2024-05-01,1307065,303395
2024-05-02,1290463,303525
2024-05-03,1215758,275750
2024-05-04,38611,17195
2024-05-05,3237,605
2024-05-06,3539,1860
2024-05-07,1440590,361705
2024-05-08,1307727,307795
2024-05-09,1276521,305680
2024-05-10,1222241,277555
2024-05-11,56718,26455
2024-05-12,4243,1130
2024-05-13,1434864,314365
2024-05-14,1349093,322645
2024-05-15,1264275,289410
2024-05-16,1252246,290460
2024-05-17,1223162,273395
2024-05-18,50528,27220
2024-05-19,3701,935
2024-05-20,1422582,305145
2024-05-21,1347620,321040
2024-05-22,1249062,297295
2024-05-23,1244793,294385
2024-05-24,1179282,267465
2024-05-25,33220,18350
2024-05-26,2996,695
2024-05-27,3344,1605
2024-05-28,1325739,341215
2024-05-29,1225913,296775
2024-05-30,1198383,296785
2024-05-31,1120024,254750
2024-06-01,38024,17750
2024-06-02,3046,890
2024-06-03,1389025,304670
2024-06-04,1320815,307700
2024-06-05,1259528,295445
2024-06-06,1243369,288355
2024-06-07,1187142,266980
2024-06-08,39038,17935
2024-06-09,3112,860
2024-06-10,1400009,293280
2024-06-11,1316097,307165
2024-06-12,1229028,283480
2024-06-13,1232643,288945
2024-06-14,1173954,266590
2024-06-15,38038,17850
2024-06-16,2905,790
2024-06-17,1334538,288895
2024-06-18,1296502,310285
2024-06-19,1212150,287425
2024-06-20,1198963,296050
2024-06-21,1151026,276925
2024-06-22,36666,18035
2024-06-23,3184,975
2024-06-24,1370892,304140
2024-06-25,1300058,323175
2024-06-26,1207739,303035
2024-06-27,1188676,293105
2024-06-28,1129539,263275
2024-06-29,35215,17995
2024-06-30,3257,950
2024-07-01,1257478,261385
2024-07-02,1222908,280350
2024-07-03,1151945,266775
2024-07-04,1127242,255865
2024-07-05,1063358,243555
2024-07-06,34172,15640
2024-07-07,3087,1205
2024-07-08,1372064,289670
2024-07-09,1287517,305255
2024-07-10,1207577,284365
2024-07-11,1197485,291885
2024-07-12,1146854,267645
2024-07-13,38055,18035
2024-07-14,3097,935
2024-07-15,1355768,302135
2024-07-16,1292252,310090
2024-07-17,1200272,284150
2024-07-18,1202009,289385
2024-07-19,628601,969560
2024-07-20,24543,42855
2024-07-21,2826,1030
2024-07-22,1346537,302360
2024-07-23,1298795,321210
2024-07-24,1217263,290695
2024-07-25,1199581,288215
2024-07-26,1104292,277095
2024-07-27,36295,17905
2024-07-28,3139,855
2024-07-29,1300631,284870
2024-07-30,1262111,315045
2024-07-31,1190540,290485
2024-08-01,1167745,290315
2024-08-02,1091943,251165
2024-08-03,35805,16720
2024-08-04,2975,880
2024-08-05,1289570,271940
2024-08-06,1248688,290825
2024-08-07,1162576,272125
2024-08-08,1145700,262790
2024-08-09,1065505,237180
2024-08-10,37636,17695
2024-08-11,2600,795
2024-08-12,1254151,276165
2024-08-13,1228615,293335
2024-08-14,1170493,273965
2024-08-15,1140293,265970
2024-08-16,1071990,240115
2024-08-17,36000,17075
2024-08-18,2836,775
2024-08-19,1271927,264985
2024-08-20,1234869,287655
2024-08-21,1167889,273230
2024-08-22,1132828,267765
2024-08-23,1049792,238585
2024-08-24,29409,15065
2024-08-25,2467,2410
2024-08-26,2760,1635
2024-08-27,1286180,324725
2024-08-28,1202090,288360
2024-08-29,1171913,281525
2024-08-30,1090878,246915
2024-08-31,35010,18960
2024-09-01,3991,980
2024-09-02,1321323,291235
2024-09-03,1276649,297505
2024-09-04,1232903,280055
2024-09-05,1199244,288235
2024-09-06,1163385,259665
2024-09-07,61339,31130
2024-09-08,3867,910
2024-09-09,1366252,282660
2024-09-10,1299873,304900
